/25/2018  4:01:52.529 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:01:52.530 WiFiDeviceManagerSetNetworks: Apple Store is disabled until first user join
11/25/2018  4:01:52.530 __WiFiDeviceManagerAutoAssociate: Already connected to PhoneReset.
11/25/2018  4:01:52.531 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:01:52.531 __WiFiManagerCheckSCCleanUpScheduling: Already Unscheduled
11/25/2018  4:01:54.079 Received kIOMessageSystemWillSleep
11/25/2018  4:01:54.079 System Sleep notification, Disabling auto-join
11/25/2018  4:01:54.080 __WiFiManagerSetEnableState: state FALSE, manager->enable.setting TRUE, manager->unlockedSinceBoot TRUE
11/25/2018  4:01:54.080 Disabling automatic association
11/25/2018  4:01:54.080 Auto-join deferral canceled.
11/25/2018  4:10:33.707 Received kIOMessageSystemWillPowerOn
11/25/2018  4:10:33.707 System wake reason: AOP.PMU pin26 rtc
11/25/2018  4:10:33.707 System Powered ON notification Re-enabling auto-join
11/25/2018  4:10:33.707 __WiFiManagerSetEnableState: state TRUE, manager->enable.setting TRUE, manager->unlockedSinceBoot TRUE
11/25/2018  4:10:33.707 Enabling automatic association
11/25/2018  4:10:33.708 __WiFiDeviceManagerAutoAssociate: Already connected to PhoneReset.
11/25/2018  4:10:33.709 WiFiLocaleManagerCheckLocale: locale <US> was determined at 11/25/18, 3:32:12 AM Central Standard Time, has been valid for 38.35 mins [cache timeout 60.00 mins] 
11/25/2018  4:10:33.711 __WiFiVirtualInterfaceProcessAWDLRealTimeModeEvent: didStart 0
11/25/2018  4:10:33.712 WiFiMetricsManagerProcessAwdlUsageData: submitting AWDL metrics: duration:8
11/25/2018  4:10:33.713 __WiFiDeviceManagerAwdlRealTimeModeEventCallback: AwdlRealTime: Before 0, Now 0
11/25/2018  4:10:33.715 Submitted wifi awd metric <0x90013> with no error
