Command,Exit description,Execution Time,Intended Timeout

Sequential group with total timeout 10.000000 sec
"/usr/bin/tailspin save --no-symbolicate --reason sysdiagnose /var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2018.11.28_12-10-54-0600_iPhone_OS_iPhone_16B92/tailspin-trace.tailspin","exited with status 22",0.004418,10.000000
"/usr/bin/tailspin info","exited with status 0",0.013819,10.000000

"/usr/sbin/spindump -notarget 2 250 -noProcessingWhileSampling -noSymbolicate -file /var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2018.11.28_12-10-54-0600_iPhone_OS_iPhone_16B92/spindump-nosymbols.txt","exited with status 0",2.689293,15.000000

Concurrent group with total timeout 15.000000 sec
"/bin/ps axwww -o user,uid,pid,ppid,%cpu,%mem,pri,ni,vsz,rss,wchan,tt,stat,start,time,command","exited with status 0",0.044340,15.000000
"/bin/ps axMwww -o ppid,%mem,pri,ni,vsz,rss,wchan,start,time,command","exited with status 0",0.044279,15.000000
"(null)","exited with status 0",0.000000,15.000000
"/usr/bin/vm_stat -c 25 0.2","exited with status 0",4.916050,15.000000
"/usr/bin/taskinfo --threads --boosts","exited with status 0",0.037746,15.000000


Concurrent group with total timeout 38.000000 sec
"/sbin/mount","exited with status 0",0.019563,38.000000
"/bin/df -H","exited with status 0",0.019277,38.000000
"/usr/bin/kbdebug","exited with status 0",0.056107,38.000000
"(null)","exited with status 0",0.000000,38.000000
"(null)","exited with status 0",0.000000,38.000000
"(null)","exited with status 0",0.000000,38.000000
"(null)","exited with status 0",0.000000,38.000000
"(null)","exited with status 0",0.000000,38.000000

"/usr/libexec/smcDiagnose","exited with status 255",0.999212,15.000000
"/usr/local/bin/powermetrics -i 1000 --sample-count 10 --show-all --show-initial-usage --handle-invalid-values","exited with status 0",0.000380,10.000000

Concurrent group with total timeout 150.000000 sec
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"/usr/bin/killall -USR2 bluetoothd","exited with status 0",0.000180,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000
"(null)","exited with status 0",0.000000,150.000000


Concurrent group with total timeout 5.000000 sec
