Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    1465    50017      571    49750        0    15008     2514  1524577    30505   994292    33544     4841       40408     59930    16263     5448    11747    28410   153437     2517      692      873 
    1445    50048      587    49752        0    15024     2519     2047       77     1558        0        1       40427     59960    16263     5448        0        0        0        0        0        0 
    1453    50048      587    49752        0    15024     2519        9        0        8        0        0       40427     59960    16263     5448        0        0        0        0        0        0 
    1453    50048      587    49752        0    15024     2519        0        0        0        0        0       40427     59960    16263     5448        0        0        0        0        0        0 
    1359    50070      672    49740        0    15024     2519       72        1       38        0        0       40535     59947    16263     5448        0        0      106        0        0        0 
    1163    50330      914    49361        0    15044     2521     1968      143      502      490        6       40385     60220    16408     5492        0      145      297        0        0        0 
    1182    50373     1124    48975        0    15071     2470      958       17      421      521       55       40254     60218    16573     5540        0      178      374        0        0        0 
    1204    50365     1124    48975        0    15066     2470        8        0        9        0        0       40254     60210    16573     5540        0        0        0        0        0        0 
    1204    50365     1124    48975        0    15076     2470        0        0        0        0        0       40254     60210    16573     5540        0        0        0        0        0        0 
    1204    50365     1124    48975        0    15076     2471        0        0        0        0        0       40254     60210    16573     5540        0        0        0        0        0        0 
    1234    50365     1124    48975        0    15048     2471        0        0        0        0        0       40254     60210    16573     5540        0        0        0        0        0        0 
    1281    50371     1126    48952        0    15054     2471       16        0       14        0        1       40256     60193    16573     5540        0        0        0        0        0        0 
    1217    50385     1136    48952        0    15053     2471       67        1       49        0        0       40272     60201    16573     5540        0        0       25        0        0        0 
    1275    50385     1136    48952        0    15042     2471        0        0        0        0        0       40272     60201    16573     5540        0        0        0        0        0        0 
    1273    50376     1133    48951        0    15033     2470       16        0        8        0        0       40274     60186    16573     5540        0        0        2        0        0        0 
    1201    50397     1136    48960        0    15023     2470       67        0       24        0        0       40279     60214    16550     5528       23        0        4        0        0        0 
    1201    50398     1136    48960        0    15023     2470        2        0        0        0        0       40279     60215    16549     5528        1        0        0        0        0        0 
    1253    50398     1136    48960        0    15024     2470       52        0       52        0        0       40279     60215    16549     5528        0        0        0        0        0        0 
    1219    50397     1136    48961        0    15024     2470       22        0       22        0        0       40279     60215    16549     5528        0        0        0        0        0        0 
    1219    50397     1136    48961        0    15024     2470        0        0        0        0        0       40279     60215    16549     5528        0        0        0        0        0        0 
    1219    50397     1136    48961        0    15024     2470        0        0        0        0        0       40279     60215    16549     5528        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    1225    50398     1136    48959        0    15024     2470  1529884    30744   997000    34555     4904       40279     60214    16549     5528    11771    28733   154245     2517      692      873 
    1225    50398     1136    48959        0    15024     2470        0        0        0        0        0       40279     60214    16549     5528        0        0        0        0        0        0 
    1193    50413     1139    48967        0    15039     2470       50        0       36        0        0       40283     60236    16549     5528        0        0        1        0        0        0 
    1165    50413     1139    48963        0    15094     2470       74        0       70        0        0       40283     60232    16549     5528        0        0        0        0        0        0 
